t_s,L_tau_ref,R_tau_ref,L_tau_pfimu,R_tau_pfimu
104.002,-2.4988326060450707,0.3602298170843941,-2.5068979263305664,0.22620177268981934
104.012,-1.9730468990216719,0.3641414132952481,-2.06421160697937,0.2803359627723694
104.022,-1.1833721985839323,0.4184887111155019,-1.4017372131347656,0.2693331241607666
104.032,-1.0730097464735255,0.3155621822006474,-1.2941606044769287,0.20165179669857025
104.042,-0.9033529821942703,0.25960756509245025,-1.2052221298217773,0.15635991096496582
104.0544,-0.9568497516884407,0.16628739175138246,-1.3114702701568604,0.08042747527360916
104.0644,-0.9776406837207936,0.18155085491111964,-1.3741334676742554,0.0903276801109314
104.0744,-1.0031627116165527,0.1931994506994683,-1.413599967956543,0.09831158071756363
104.0844,-1.0241938216348112,0.2024764605623477,-1.4596816301345825,0.10776229947805405
104.0944,-0.37583944008356107,0.07382097231786655,-0.8311985731124878,0.02122245915234089
104.1044,-0.07934406163713015,0.10003818499837833,-0.5405832529067993,0.03431890532374382
104.1144,-0.12503780249884955,0.12226132714002572,-0.586662232875824,0.047081053256988525
104.1244,-0.1659298673495001,0.17313277535540733,-0.6327204704284668,0.09455449879169464
104.1344,-0.03934632912716554,0.23454568889926966,-0.4394630491733551,0.1549399048089981
104.1444,-0.04981754595488627,0.24660988952168128,-0.4560665488243103,0.1667066365480423
104.157,-0.09318623313528182,0.28091254076717276,-0.4563404619693756,0.20899246633052826
104.167,-0.25689673239302746,0.19442094885783479,-0.5434470772743225,0.1432233303785324
104.177,-0.3365740235021221,0.14332761437555794,-0.5923362374305725,0.10035301744937897
104.187,3.7675993420029172,0.21216355443778925,4.320501327514648,0.16635698080062866
104.197,-0.18617749097087857,0.36585092859554386,0.5346507430076599,0.29645782709121704
104.207,2.5449005123704915,-1.8563006662902337,3.300590991973877,-1.4631175994873047
104.217,0.3932600221401839,0.4367990897134778,2.339780807495117,0.3580116331577301
104.227,1.5104208737455282,0.4809800840409108,1.840704083442688,0.3865109384059906
104.237,0.832829136500236,0.3788873557815806,1.175756812095642,0.28945106267929077
104.247,0.330276401210517,0.41415496691955433,1.1552464962005615,0.30492091178894043
104.2596,0.0,0.405641837300242,0.871838390827179,0.29698944091796875
104.2696,0.0,0.36289347810910344,0.5327827334403992,0.2587887942790985
104.2796,0.0,0.3514308627651049,0.45628857612609863,0.25082698464393616
104.2896,0.0,0.3727479812265781,0.4063724875450134,0.2730087637901306
104.2996,0.0,0.381487320025732,0.3966817855834961,0.2841326892375946
104.3096,0.0,0.36980697371509536,0.2956850230693817,0.2736745774745941
104.3196,0.0,0.34753017498235517,0.20351828634738922,0.25715234875679016
104.3296,0.0,0.35838500067764034,0.19144418835639954,0.26287713646888733
104.3396,0.0,0.4030279493485742,0.17325283586978912,0.30806827545166016
104.3496,0.0,0.4266759683097665,0.10053771734237671,0.3253727853298187
104.3619,0.0,0.4427930353348827,0.04205268993973732,0.3447602689266205
104.3719,0.0,0.505799493836193,0.022370807826519012,0.40991470217704773
104.3819,0.0,0.5093905284744505,0.006494082510471344,0.40688592195510864
104.392,0.0,0.5995435478242208,0.006598347332328558,0.5070229768753052
104.4019,0.0,-2.125432309739756,0.020904945209622383,-2.2899696826934814
104.412,0.0,-1.7077565120476432,0.07075873017311096,-1.9213658571243286
104.422,0.05058681504956504,-1.6336818561580495,0.15360507369041443,-1.8420977592468262
104.432,0.12432653621643364,-1.5703935498894837,0.24438965320587158,-1.7721936702728271
104.442,0.19561178733000098,-1.5188493123018936,0.2822395861148834,-1.7106069326400757
104.452,0.2211731348391779,-1.2938827137039737,0.2650097906589508,-1.4823964834213257
104.4663,0.31708866296727284,-1.3043755922322218,0.3470321595668793,-1.4534329175949097
104.4763,0.16601353971288169,-1.1454482460978077,0.1609015166759491,-1.2940682172775269
104.4863,0.14893831698168056,-1.2016690512264168,0.1412428915500641,-1.3692684173583984
104.4963,0.1387528172827565,-0.5025858577037174,0.13432636857032776,-0.7046594023704529
