t_s,imu_LTx,imu_RTx,imu_Lvel,imu_Rvel,L_tau_ref,R_tau_ref,L_tau_pfimu,R_tau_pfimu
64.8886,-55.0351,-4.1574,-61.2183,26.2451,-1.4813617933775198,0.646897027383753,-1.6688441038131714,0.633109450340271
64.8986,-55.0351,-3.6575,-61.2183,21.1182,-1.416716818743795,0.6236405508754909,-1.633023738861084,0.6076747179031372
64.9086,-56.0074,-2.6962,-36.1938,38.7573,-1.249194152207119,0.3185638368114041,-1.4756006002426147,0.37784436345100403
64.9186,-56.5842,-2.2623,-15.0757,40.5273,-1.166650742647954,0.2652503805161467,-1.3701539039611816,0.3894934356212616
64.9286,-56.6501,-1.8283,0.3662,40.4053,-1.1932569588197897,0.23765394315252364,-1.2794941663742065,0.41660329699516296
64.9386,-56.6501,-1.5591,0.3662,25.5737,-1.100844176894029,0.3671387419392208,-1.0135655403137207,0.5679130554199219
64.9486,-56.5293,-1.4877,18.4326,10.437,-0.30084417689402887,0.5094231920317619,-0.21356548368930817,0.684504508972168
64.9586,-56.1722,-1.4273,43.5181,13.7329,0.4192449828355903,0.4683672757839079,0.586434543132782,0.6141135096549988
64.9686,-55.4965,-1.4273,73.1201,13.7329,0.46994601057346413,0.47203067775333074,0.8635813593864441,0.596433699131012
64.9786,-54.5517,-1.4273,95.9473,13.7329,0.8872223042941212,0.4741551192108704,1.0979911088943481,0.5819053053855896
64.9886,-51.9699,-0.2682,141.3574,34.9731,1.1193674657483366,0.14828270104365382,1.210755705833435,0.32147547602653503
64.9986,-50.3055,0.0394,166.3818,29.7241,1.4484434188716402,0.21374434748533,1.869658350944519,0.3827154338359833
65.0086,-50.3055,0.4788,166.3818,22.2168,1.934000888787524,0.2939317184199785,2.5510413646698,0.44741567969322205
65.0186,-48.3884,0.4788,192.9321,22.2168,2.473729482997423,0.3087667365465775,2.894728183746338,0.4573579430580139
65.0286,-48.3884,0.4788,192.9321,22.2168,2.9317286138970893,0.3122784212919497,3.159721851348877,0.4640648365020752
65.0386,-44.0213,0.4788,227.6611,22.2168,2.5163913349607636,0.3191497802728505,2.837958574295044,0.46078217029571533
65.0486,-41.6153,0.4788,234.2529,22.2168,2.910439180073608,0.32656992837454696,3.1914801597595215,0.4681495726108551
65.0586,-37.4845,1.3797,178.3447,27.4048,2.846942380742822,0.2503268568030863,3.3057947158813477,0.3440803587436676
65.0686,-35.5509,1.6544,181.2744,23.3154,2.635024799266721,0.29831068447758935,3.1864871978759766,0.3775114119052887
65.0786,-35.5509,2.1213,181.2744,16.4185,2.73070663995125,0.3646695622555768,3.2749314308166504,0.42137610912323
65.0886,-35.5509,2.1213,181.2744,16.4185,2.8070232573576006,0.36490402380694176,3.345252275466919,0.4254637360572815
65.0986,-33.403,2.2202,200.7446,3.418,2.5588856295693425,0.4810856898636119,3.14031982421875,0.5403836369514465
65.1086,-31.1234,2.1323,215.271,-14.8926,2.572743377896089,-0.31891431013638816,3.103776693344116,-0.25961634516716003
65.1186,-28.9261,1.8906,204.5288,-29.1138,2.687050995856457,-0.9860010661197258,3.1969501972198486,-1.0306174755096436
65.1286,-23.6197,1.8906,158.5693,-29.1138,2.4684219416208295,-0.8908942491739827,3.011436700820923,-0.9262259006500244
65.1386,-22.1805,1.5115,131.4697,-44.1895,2.484561812716034,-0.7674100548716827,2.987727165222168,-0.78472900390625
65.1486,-22.1805,0.1108,131.4697,-86.1206,2.4707637007151506,-0.6290149198956422,2.8970885276794434,-0.6350100636482239
65.1586,-22.1805,0.1108,131.4697,-86.1206,2.4658062993808287,-0.9583319767900623,2.8322391510009766,-0.9790331721305847
65.1686,-22.1805,-0.8395,131.4697,-101.6235,2.4681616329347182,-1.1791985784913384,2.779329776763916,-1.155418038368225
65.1786,-22.1805,-0.8395,131.4697,-101.6235,2.4779325919054744,-1.5298207122315546,2.7419018745422363,-1.486004114151001
65.1886,-22.1805,-0.8395,131.4697,-101.6235,2.5185602672579526,-1.7634993387786952,2.7352263927459717,-1.736648678779602
65.1986,-21.1917,-2.1579,85.5103,-145.813,2.5931223311963056,-1.7668748735987347,2.732626438140869,-1.8264155387878418
65.2086,-20.1041,-4.1135,11.9629,-209.4116,1.7931223311963056,-2.566874873598735,1.9862807989120483,-2.626415491104126
65.2186,-20.1041,-9.5407,11.9629,-289.3066,0.9931223311963056,-3.366874873598735,1.342041015625,-3.42641544342041
65.2286,-20.1041,-18.4396,11.9629,-281.7993,0.4141483649217954,-4.166874873598735,0.8984678983688354,-4.226415634155273
65.2386,-18.3023,-21.0269,41.4429,-251.1597,0.24775301046095186,-4.9668748735987345,0.6430873274803162,-4.982907772064209
65.2486,-17.9508,-23.356,42.7246,-229.6143,0.314808078136512,-4.555934432174907,0.68694669008255,-4.824638366699219
65.2586,-17.4784,-25.5917,57.312,-222.3511,0.32998247461121394,-4.270105421059107,0.6248449087142944,-4.55687952041626
65.2686,-16.0831,-27.7176,74.1577,-211.2427,0.33541096990189034,-4.148425708804331,0.5024669766426086,-4.348529815673828
65.2786,-15.4459,-29.7391,54.2603,-200.3174,0.5228986807055613,-3.9285884061590286,0.7059060335159302,-4.127879619598389
65.2886,-15.4459,-33.2822,54.2603,-172.7905,0.579526975185294,-3.464675084901228,0.7721945643424988,-3.742450475692749
65.2986,-15.0284,-33.2822,31.3721,-172.7905,0.7402424939721399,-3.530815320565226,0.9053770303726196,-3.776585340499878
65.3086,-14.6713,-33.2822,27.5879,-172.7905,0.7317098111975578,-3.5625240360631922,0.8612890839576721,-3.8009464740753174
65.3186,-14.6713,-37.0065,27.5879,-193.4814,0.7176758137561822,-2.7625240360631924,0.812147855758667,-3.005573272705078
65.3286,-14.0012,-37.0065,15.5029,-193.4814,0.7448183748683658,-2.9198156546290623,0.8111187815666199,-3.1841659545898438
65.3386,-13.7815,-41.1758,-3.6011,-216.7969,0.8089223085234094,-2.7603837106217144,0.8622117638587952,-2.7611048221588135
65.3486,-13.7815,-41.1758,-3.6011,-216.7969,0.7265825125799125,-3.560383710621714,0.7435547113418579,-3.5611047744750977
65.3586,-13.7815,-45.4221,-3.6011,-210.5713,0.6530903489785531,-3.0709577744027436,0.612748920917511,-2.8754889965057373
65.3686,-13.6661,-47.4271,7.2021,-196.106,0.5191589807572187,-3.472735158259993,0.5575134754180908,-2.7168214321136475
65.3786,-13.4958,-49.2947,23.5596,-182.6172,0.3644474600948462,-2.8958259286091095,0.40620747208595276,-2.9900784492492676
65.3886,-13.4958,-51.0526,23.5596,-172.4854,0.3636588050649803,-2.4354244350863063,0.41661158204078674,-2.561383008956909
65.3986,-13.1278,-52.6511,41.2598,-153.3813,0.22753643437442875,-2.1794442664290825,0.25802385807037354,-2.1398282051086426
65.4086,-12.1829,-54.0134,46.2646,-129.2725,0.19783490804566217,-2.0093364417031037,0.20116519927978516,-1.8733044862747192
65.4186,-11.7655,-54.0134,39.978,-129.2725,0.2783148946304478,-2.196229342405489,0.27111658453941345,-1.9702022075653076
65.4286,-11.37,-56.7215,40.9546,-65.5518,0.2946106865217745,-1.4832500677338054,0.2793242633342743,-1.4932851791381836
65.4386,-10.9964,-56.7215,37.9639,-65.5518,0.33741654436425217,-1.4438193714289609,0.32971546053886414,-1.4708153009414673
65.4486,-10.6009,-57.2049,35.7056,-41.8091,0.36677235163349603,-1.3481429003902086,0.3589993715286255,-1.4669774770736694
65.4586,-10.1724,-57.4466,38.0859,-18.4326,0.3598785524764004,-1.3311545009932608,0.34290698170661926,-1.5028868913650513
65.4686,-10.1724,-57.4466,38.0859,-18.4326,0.3994923061434379,-1.2106403166164432,0.38176146149635315,-1.358965277671814
65.4786,-9.2826,-57.4521,16.1743,5.7983,0.5246619951526725,-1.1631816940932727,0.5202823877334595,-1.2552043199539185
65.4886,-9.1233,-56.7435,15.9302,51.5137,0.49527506826912837,-0.3631816940932726,0.4982895255088806,-0.4552042782306671
65.4986,-9.1233,-56.0623,15.9302,72.876,0.47650281417052387,0.43681830590672743,0.48549774289131165,0.34479573369026184
65.5086,-8.8376,-56.0623,24.7803,72.876,0.38129291775227353,1.2368183059067275,0.37977105379104614,1.1447957754135132
65.5186,-8.5245,-56.0623,25.5737,72.876,0.3777003408703445,1.4152920164901688,0.36742860078811646,1.5585956573486328
65.5286,-8.2389,-55.1724,23.5596,94.0552,0.39211834593375405,1.3875389314403788,0.3776867985725403,1.4546400308609009
65.5386,-7.9917,-54.0628,20.6909,115.3564,0.4137105844756566,1.429807369584336,0.40760526061058044,1.4607003927230835
65.5486,-7.7005,-52.728,12.8784,137.4512,0.46574715268705136,1.5688397755305492,0.4527103006839752,1.5033782720565796
65.5586,-7.4259,-49.4266,33.5693,178.2227,0.26716954460115094,1.8177250160737923,0.24878521263599396,1.8323174715042114
65.5686,-7.4259,-45.3726,33.5693,214.4775,0.30929020157064085,2.617725016073792,0.295147180557251,2.632317304611206
65.5786,-6.9864,-42.9666,45.2881,232.4829,0.23256442646079928,3.417725016073792,0.21883511543273926,2.996913433074951
65.5886,-6.9864,-42.9666,45.2881,232.4829,0.30258052878589314,4.058634288366748,0.30273863673210144,3.4728336334228516
65.5986,-6.9864,-40.6485,45.2881,227.478,0.37037655899809907,3.8092974139349893,0.3728315830230713,3.546429395675659
65.6086,-6.5909,-38.237,8.1787,247.0703,0.6934001135915084,3.3722756781034393,0.664588212966919,3.417663335800171
65.6186,-5.6351,-35.4794,56.8237,285.6445,0.21311640116551378,3.8209441956905494,0.20160354673862457,3.8441827297210693
65.6286,-5.2121,-32.5186,42.2363,298.3398,0.3900036772521285,4.62094419569055,0.3720754384994507,4.520852088928223
65.6386,-5.2121,-27.02,42.2363,261.6577,0.4345636163908201,4.177302423748379,0.4263267517089844,3.7208523750305176
65.6486,-5.0089,-24.548,14.7705,244.5679,0.6694426833809809,3.858523525728396,0.6528817415237427,3.3833322525024414
65.6586,-5.0693,-22.2849,-10.376,222.8394,-0.13055731661901915,3.564044952187723,-0.14711827039718628,3.2898616790771484
65.6686,-5.2835,-20.2249,-22.3389,203.7964,-0.9305573166190192,3.2674905047794893,-0.9471182823181152,3.339015007019043
65.6786,-5.5747,-18.4012,-29.9683,176.9409,-0.8094109264164231,3.0757553385617546,-0.7934936881065369,3.2981996536254883
65.6886,-6.5744,-17.1597,-56.2134,110.3516,-0.5900423530509801,3.2071506644245757,-0.6009855270385742,2.763139009475708
65.6986,-7.349,-17.1597,-83.1909,110.3516,-0.5075320163109278,3.0782813324745697,-0.5323776006698608,2.4212148189544678
65.7086,-7.349,-16.4291,-83.1909,70.2515,-0.7565362677824091,2.680743913677216,-0.7830615043640137,2.1963822841644287
65.7186,-8.5684,-16.4291,-136.0474,70.2515,-1.2013885218327929,1.8807439136772162,-1.1690433025360107,2.006650924682617
65.7286,-10.3427,-16.4291,-191.5894,70.2515,-2.001388521832793,1.4884115307703265,-1.969043254852295,1.8578903675079346
65.7386,-12.5015,-14.6988,-229.0649,54.6875,-2.801388521832793,1.31881376282581,-2.769043207168579,1.4281891584396362
65.7486,-14.9185,-14.0891,-253.0518,62.8662,-3.601388521832793,1.1812412786007005,-3.5690431594848633,1.2000035047531128
65.7586,-17.4948,-14.0891,-265.2588,62.8662,-4.048718443722291,1.2076594594926098,-3.904798984527588,1.205907940864563
65.7686,-20.1316,-12.0566,-269.165,56.8237,-4.702216658942937,1.1071482810466706,-4.020934581756592,0.8658763766288757
65.7786,-22.7683,-10.9799,-263.0005,48.0347,-4.48191919858412,1.0881480389071896,-4.398773193359375,0.7544952630996704
65.7886,-25.3116,-10.9799,-244.3848,48.0347,-4.343315945338843,1.082080177048972,-4.25289249420166,0.7713485956192017
65.7986,-27.6682,-10.9799,-216.5527,48.0347,-4.173561721687254,1.0742549747900667,-4.032060623168945,0.7868567109107971
