t_s,imu_LTx,imu_RTx,imu_Lvel,imu_Rvel,L_tau_ref_mean,R_tau_ref_mean,L_tau_pfimu_mean,R_tau_pfimu_mean
143.7267,-52.8049,0.704,133.5449,78.4912,1.1001707272981351,1.1242679122435633,1.1315964102745055,1.1447922587394714
143.7367,-51.1789,3.1595,160.3394,75.8057,1.4848051774524615,0.8131405343456561,1.5555500268936158,0.8122291684150695
143.7467,-49.3552,4.4833,178.6499,63.7817,1.9113414189983833,0.7809643867830968,2.0988962411880494,0.7628079950809479
143.7567,-47.482,5.6149,173.9502,52.8564,2.2302185946752444,0.7401234067360546,2.398291301727295,0.7125955939292907
143.7667,-45.7407,5.6149,154.48,52.8564,2.3435902917549907,0.7639911395496428,2.4810238599777223,0.7380877256393432
143.7767,-45.7407,6.1752,154.48,53.4668,2.401026227771678,0.6933310350774732,2.51927707195282,0.6651762187480926
143.7867,-42.8458,6.6641,109.9854,52.9175,2.3191714249278674,0.6488109574216676,2.4012609243392946,0.6151254773139954
143.7994,-41.5659,7.4387,100.9521,29.0527,2.122312436895883,0.751071457461749,2.1867112517356873,0.7164661169052124
143.8094,-40.2091,7.8342,112.4878,37.1094,1.9175033938967043,0.6114040010372792,1.972060739994049,0.5802888691425323
143.8194,-38.7259,8.3011,122.3145,41.8701,1.7921797040163825,0.5046929668706581,1.836403000354767,0.4766982465982437
143.8294,-37.2428,8.6966,120.0562,31.6772,1.7566421859367485,0.5475761347774626,1.8005969405174256,0.5256499886512757
143.8394,-35.9409,8.6966,97.6562,31.6772,1.8011985976385194,0.5519964711961578,1.8392220735549927,0.5344038009643555
143.8494,-33.8425,8.9218,90.6982,-12.3901,1.6636983444204052,-0.2480035288038423,1.690978968143463,-0.2655961960554123
143.8594,-32.6944,8.5373,96.1914,-49.9878,1.534580896587447,-0.6121616960366631,1.5561518549919129,-0.7713758230209351
143.8694,-32.6944,7.8177,96.1914,-80.1392,1.5502050308542443,-0.7614922679446119,1.563595998287201,-0.9623106777667999
143.8794,-32.6944,6.8619,96.1914,-101.5015,1.586802251231108,-1.047568864029531,1.5942626595497131,-1.1422080278396607
143.8894,-31.8704,6.8619,52.8564,-101.5015,1.7076872537576537,-1.357146780163431,1.7227392554283143,-1.4177821040153504
143.9018,-31.2717,3.577,2.6245,-207.5806,1.6789997080734125,-2.1297438986262547,1.6933775186538695,-2.1334633946418764
143.9118,-31.5134,3.577,-28.6865,-207.5806,0.8789997080734121,-2.929743898626255,0.8933775067329407,-2.9334633588790893
143.9218,-31.6068,-1.8448,-5.9814,-281.3721,0.07899970807341195,-3.6428472010449537,0.09337751604616643,-3.7220277547836305
143.9318,-31.3431,-4.8001,40.7715,-287.1094,0.8360927601643464,-4.285835698865239,0.8343283414840699,-4.437450337409973
143.9418,-31.3431,-4.8001,40.7715,-287.1094,0.8068600698871821,-4.9478797637943845,0.7856327652931213,-5.126646280288696
143.9518,-30.8267,-7.695,63.9648,-278.5034,0.7032634440976835,-4.857629830629474,0.6975010752677917,-4.977043151855469
143.9618,-30.2774,-7.695,68.7866,-278.5034,0.76228573134763,-5.077763184416071,0.766537207365036,-5.182426929473877
143.9718,-29.7171,-7.695,71.4111,-278.5034,0.826730438982324,-5.263872838474362,0.8329422295093536,-5.34091968536377
143.9818,-29.7171,-16.7642,71.4111,-201.4771,0.9192946537666635,-4.4918044281609975,0.9222910940647125,-4.545336389541626
143.9918,-29.7171,-18.7857,71.4111,-200.8057,0.992768085771093,-4.048171071159993,0.9952964186668396,-4.01296443939209
144.0044,-29.0634,-18.7857,78.3691,-200.8057,0.9914606028116367,-4.1182745419910995,0.9928301095962524,-3.958389711380005
144.0144,-29.0634,-18.7857,78.3691,-200.8057,1.0779999346745617,-4.145496203502573,1.0814917385578156,-4.002871775627137
144.0244,-29.0634,-24.2569,78.3691,-172.1191,1.1535420370945066,-3.5243952024929195,1.1570329546928406,-3.389090895652771
144.0344,-29.0634,-24.2569,78.3691,-172.1191,1.211421312754881,-3.537943595933264,1.2129544019699097,-3.4583069562911986
144.0444,-29.0634,-24.2569,78.3691,-172.1191,1.271896372085441,-3.5496979945753786,1.2708893299102784,-3.498482847213745
144.0544,-28.2559,-24.2569,85.8765,-172.1191,1.239858485101066,-3.5557309173429466,1.2330857515335083,-3.510876512527466
144.0644,-27.3551,-25.8664,84.9609,-156.9214,1.263939126370088,-3.4128395282294433,1.2560585021972657,-3.3685653448104858
144.0744,-24.8172,-27.5253,72.6929,-170.4102,1.215393751400345,-3.111191427424267,1.2091833233833313,-3.083243203163147
144.0844,-23.1198,-29.4315,82.7026,-196.4111,1.089988653296206,-2.819800533709719,1.084238737821579,-2.8122221708297728
144.0944,-21.2631,-31.6452,90.271,-227.9663,1.0187115453333033,-2.925723334216741,1.0148859441280365,-2.9578866720199586
144.1069,-18.3133,-34.0512,97.1069,-241.0889,0.9161525468723701,-3.637403336580533,0.9169751763343811,-3.623594355583191
144.1169,-16.3028,-36.5012,106.8115,-243.2251,0.9248351449615942,-3.98029070687262,0.9221470475196838,-3.8558542013168333
144.1269,-16.3028,-36.5012,106.8115,-243.2251,1.1524986178322847,-4.386524557134118,1.1478342056274413,-4.2242391347885135
144.1369,-15.2152,-38.8852,113.8306,-233.5815,1.2251482538062253,-4.051322149264997,1.2129013419151307,-3.8275981187820434
144.1469,-12.8641,-41.0825,121.9482,-212.8906,1.187074344754485,-3.7557988760626797,1.1606591939926147,-3.5267954111099242
144.1569,-11.705,-43.1149,117.4927,-197.3877,1.3150803602145502,-3.51611419291473,1.289861524105072,-3.1901994705200196
144.1669,-10.5734,-46.8008,113.7695,-169.9219,1.3709807120420443,-2.872080652836133,1.3609509587287902,-2.5151549100875856
144.1769,-9.4748,-46.8008,107.4219,-169.9219,1.4040958681744689,-2.944924144776424,1.4040559530258179,-2.669477438926697
144.1869,-8.497,-48.4213,92.5903,-153.6865,1.5620726463893952,-2.664822527485399,1.5995392560958863,-2.4203877210617066
144.1969,-7.6511,-48.4213,80.9326,-153.6865,1.5969109142519406,-2.708675849779959,1.6112015128135682,-2.5419475078582763
144.2091,-6.8875,-49.8441,75.3784,-133.9111,1.5464440325421278,-2.502855917317227,1.5601014375686646,-2.3188204526901246
144.2191,-6.1954,-49.8441,68.6646,-133.9111,1.5134597911118663,-2.531238252626381,1.5233213305473328,-2.3857770681381227
144.2291,-5.5692,-51.0471,66.2231,-111.8164,1.4519207976457362,-2.384201867222427,1.4643272757530212,-2.2008029937744142
