t_s,L_tau_ref,R_tau_ref,L_tau_pfimu,R_tau_pfimu
91.2742,0.2388606144305248,-0.8085156848216217,0.3627411425113678,-1.3328686952590942
91.2842,0.2190284788482917,-0.745874125725573,0.31865638494491577,-1.14404296875
91.2942,0.24766955996231832,-0.7290366019786766,0.27870848774909973,-0.9618768095970154
91.3042,0.2742976626187005,-0.7132865894923999,0.23864080011844635,-0.9072511196136475
91.3142,0.2885781507427055,-0.7500075564886309,0.2521625757217407,-0.8843469023704529
91.3242,0.28086641649705313,-0.7894709978103717,0.2715395987033844,-0.8604567646980286
91.3368,0.3028371102213743,-0.796369845676199,0.2781551480293274,-0.8851805925369263
91.3468,0.30705022725471875,4.041856867097962,0.27856647968292236,-0.909675657749176
91.3568,0.3202435686405063,-0.3227703161354051,0.26836737990379333,-0.8944529294967651
91.3668,0.3542346354142089,2.9436687873824945,0.2778398096561432,4.092824459075928
91.3768,0.37981537748536354,1.5370279946068262,0.27212491631507874,-0.16286560893058777
91.3868,0.4011965232697863,1.861694561804628,0.30004048347473145,3.084209442138672
91.3968,0.41260372412075685,1.1734083329716163,0.3145888149738312,1.08738112449646
91.4068,0.41712891979598804,1.1194047382382986,0.31035709381103516,2.048020124435425
91.4167,0.42980168855659134,0.9547968560341523,0.29670292139053345,1.5524036884307861
91.4267,0.4539088317572748,0.9049198412938978,0.29187798500061035,1.2521390914916992
91.4393,0.4753117160726487,0.8646769966315299,0.2978617250919342,1.0834691524505615
91.4493,0.44748035856480656,0.8229966487251462,0.3074767589569092,1.0361237525939941
91.4592,0.44817203660993454,0.795791702374986,0.33561426401138306,1.0108764171600342
91.4692,0.44400073106848736,0.7582624335263954,0.3083965480327606,0.983267605304718
91.4793,0.5029797021296627,0.709589883971682,0.2994125187397003,0.9774125218391418
91.4893,0.5164839850556481,0.6866376500791296,0.29331064224243164,0.9544029235839844
91.4993,0.5955463346268874,0.6479765227784251,0.3448342978954315,0.9237380027770996
91.5093,0.6357849758757146,0.5974206822656014,0.3580913245677948,0.903283417224884
91.5193,0.7541492915274424,0.5269449721145394,0.43300509452819824,0.8497779369354248
91.5293,0.8475387301512162,0.40938534829965256,0.464661180973053,0.7760830521583557
91.5416,-3.5793891476355295,0.2786923880195442,0.5684776902198792,0.7027511596679688
91.5516,-2.989163041678811,0.21962225252157574,0.6497734189033508,0.5520815253257751
91.5616,-2.4852520488460774,0.1795057211048477,-1.5691758394241333,0.412596195936203
91.5716,-2.0605540309553985,0.1596002315315631,-1.152236819267273,0.36079171299934387
91.5816,-1.623607026237142,0.1498594810898733,-1.0126399993896484,0.3244064152240753
91.5916,-1.2584109883381716,0.15906882585864074,-1.0706251859664917,0.30403998494148254
91.6016,-0.8302908032707925,0.18749001432648038,-1.358595848083496,0.2800867259502411
91.6116,-0.09792644795017558,0.23560432765209383,-1.811525583267212,0.286266565322876
91.6216,0.5745470298519426,0.2856073611440424,-1.592694640159607,0.31577184796333313
91.6316,0.9342330843172948,0.35532389003360876,-1.271752119064331,0.37295588850975037
91.6442,1.216541512947476,0.40580856041744084,-1.1039402484893799,0.43679913878440857
91.6542,1.3281740615601605,0.44236882293823765,-0.9344934225082397,0.5203202962875366
91.6642,3.0660647532113163,0.41089691267213513,-0.6595095992088318,0.5816060900688171
91.6742,-2.4414383317887274,0.3562932713823881,-0.4756445586681366,0.6040048003196716
91.6842,-2.3756193756561155,0.2944668439230694,-0.36566561460494995,0.6794410943984985
91.6942,-2.28366900549339,0.2870959426998154,-0.2624557912349701,0.594020426273346
91.7042,-2.13222691104913,0.29891867401233807,-0.04471819847822189,0.4942154586315155
91.7142,-2.049011528485355,0.3213885581562589,0.10685241222381592,0.43285664916038513
91.7242,-1.8997255665515398,0.3710998787735662,0.3059169352054596,0.3969883620738983
91.7342,-1.73539731281265,0.4117209731461522,0.3915072977542877,0.39043375849723816
91.7467,-1.5546104695876217,0.4121818313943003,0.4911821186542511,0.42135336995124817
91.7567,-1.4405385201352727,0.37016473183412546,4.7972941398620605,0.4535936117172241
