t_s,L_tau_ref_mean,R_tau_ref_mean,L_tau_pfimu_mean,R_tau_pfimu_mean
122.0809,0.6435241372986538,-0.4420018883645411,0.6549060732126236,-0.4978443369269371
122.0909,0.6193223603062951,-0.24399288262287433,0.6308260381221771,-0.32192643657326697
122.1009,0.5351810532473597,0.06892414829371576,0.5432320654392242,-0.0005634604021906853
122.1109,0.5857179184577944,0.08831244617655773,0.592955693602562,-0.10542907267808914
122.1209,0.6216529783056945,-0.5981856467069276,0.6378775238990784,-0.5321084812283516
122.1309,0.6013529259933086,-0.4704835881332712,0.6110603213310242,-0.4870594650506973
122.1409,0.5183235630723945,-0.45768940669820346,0.531666922569275,-0.6701639592647552
122.1509,0.5866725651947514,-0.7432315672026175,0.6017345637083054,-0.8708424270153046
122.1634,0.5417269361722663,-0.30847441759120364,0.5431569069623947,-0.5957719705998897
122.1734,0.5542506536265187,-0.4816889833761297,0.5339019268751144,-0.4878386124968529
122.1834,0.5366303133313424,-0.06495143512647925,0.4828621238470078,-0.3807621106505394
122.1934,0.5054870332032767,-0.6849317637857266,0.43115149438381195,-0.4086113408207893
122.2034,0.28177223364694715,-0.4713545119389041,0.1736416857689619,-0.14767124988138675
122.2137,0.21683765448746564,-0.41085114003162004,0.08099910076707602,-0.21506383400410414
122.2237,0.28668128465255893,-0.36397234524802613,0.1356361438985914,-0.27424105275422334
122.2337,0.3528007631446579,-0.3354735756497165,0.18982941303402184,-0.25767700513133607
122.2437,-0.23567874109396728,-0.35011978354308926,-0.4051420703530312,-0.2741110445000231
122.2537,-0.340727038525847,-0.365180381558153,-0.49174743741750715,-0.29026305220322685
122.2661,-0.47715702133658977,-0.3508303816272425,-1.010574734210968,-0.2847113568335772
122.2761,-0.6277711822531847,-0.3741261729293489,0.4899709850549698,-0.319460998964496
122.2861,-0.8340181715039616,-0.3876529462587367,1.137935146689415,-0.33832684174121824
122.2961,0.3047254978344685,-0.3999605820899577,1.2121088981628418,-0.356107511324808
122.3061,0.6893950969477893,-0.38343139467940823,1.3307661533355712,-0.34895085422322153
122.3161,0.09058130674541268,-0.3942884805587732,1.2737505048513413,-0.3681839580414817
122.3261,0.854881265019662,-0.39741192068186637,1.054134827852249,-0.393324301764369
122.3361,1.2050763580660853,-0.4061231646095466,1.4148541927337646,-0.4195453274245665
122.3461,1.2804758503402853,-0.40510840857848657,1.463674646615982,-0.41683593524358004
