time_abs_s,time_window_s,q_L_deg,dq_L_deg_s,dq_int_L_deg_s,confidence_L,B_L,D_L,tau_ff_L,tau_damp_L,tau_exo_L,tau_measured_L,q_R_deg,dq_R_deg_s,dq_int_R_deg_s,confidence_R,B_R,D_R,tau_ff_R,tau_damp_R,tau_exo_R,tau_measured_R
239.4123,29.4122,-17.37838,-239.4165,-108.440402484657,0.348473562806623,0.696947125613246,0.348473562806623,-1.31907144739638,0.796598069378877,-0.522473378017504,-15.8775136,-18.55388,134.436,48.2432061025943,0.0802286954096345,0.160457390819269,0.0802286954096345,0.135105570458484,-0.120691881092593,0.014413689365891,0.0742492
239.4248,29.4247,-20.29746,-225.97654,-90.8567979580953,0.323802135223584,0.647604270447168,0.323802135223584,-1.02693864813172,0.76361751870465,-0.263321129427074,-12.338609,-17.05866,144.3359,40.1872207333794,0.11936517510688,0.238730350213759,0.11936517510688,0.167445305070101,-0.216974538848396,-0.049529233778295,-1.0446852
239.4348,29.4347,-22.5925,-216.78466,-77.4757581096584,0.311928087504232,0.623856175008465,0.311928087504232,-0.843582730192832,0.758421644809756,-0.085161085383076,-8.697995,-15.56344,154.2358,32.6505034610884,0.128282133013089,0.256564266026178,0.128282133013089,0.14620540163812,-0.272222863805863,-0.126017462167743,-2.1613098
239.4448,29.4447,-24.80516,-208.94774,-66.1575937644627,0.302332327521084,0.604664655042167,0.302332327521084,-0.698186828977076,0.753459986500557,0.0552731575234806,-5.0422716,-14.32638,154.61422,28.1386084761609,0.107944454906977,0.215888909813954,0.107944454906977,0.106025497152247,-0.238278300094515,-0.132252802942268,-3.288773
239.4548,29.4547,-26.4652,-202.49022,-62.4440803181599,0.303123010837097,0.606246021674194,0.303123010837097,-0.660720136661105,0.740913342609801,0.0801932059486964,-1.4395966,-13.09372,152.86862,23.4519860446328,0.0890795512984486,0.178159102596897,0.0890795512984486,0.0729230813043173,-0.20120811308043,-0.128285031776113,-4.4301302
239.4648,29.4647,-28.08238,-197.98584,-52.4023995910394,0.29544204061312,0.59088408122624,0.29544204061312,-0.54041927694398,0.750691745176119,0.210272468232139,2.0560682,-12.26534,142.33396,22.8075773665156,0.0729010111862437,0.145802022372487,0.0729010111862437,0.0580390202160642,-0.152080907729431,-0.0940418875133666,-5.5792674
239.4748,29.4747,-29.69956,-193.48146,-41.3673567914842,0.270161097071838,0.540322194143676,0.270161097071838,-0.390110775653126,0.717248519038442,0.327137743385316,5.4059352,-11.27216,126.9287,22.6278563472445,0.0604680942337193,0.120936188467439,0.0604680942337193,0.0477614009806719,-0.110075703590196,-0.0623143026095236,-6.7229708
239.4848,29.4847,-31.73094,-191.8335,-29.0864051901003,0.244508837889885,0.489017675779771,0.244508837889885,-0.248251553320848,0.694520667317872,0.446269113997024,8.5898824,-10.13506,108.81348,-91.3843899277573,0.0425831288620405,0.0851662577240809,0.0425831288620405,-0.135836645747497,-0.14879022094626,-0.284626866693757,-7.847707
239.4948,29.4947,-33.7634,-190.18556,137.950150043044,0.20443419851322,0.408868397026439,0.20443419851322,0.984426029229217,1.17080457681703,2.15523060604624,11.6070374,-9.30668,91.89454,90.3723435671057,0.0354588507309883,0.0709177014619766,0.0354588507309883,0.111858132239004,-0.000942047329767404,0.110916084909237,-8.942833
239.5048,29.5047,-35.82662,-193.32278,-186.888733755798,0.174364168849174,0.348728337698349,0.174364168849174,-1.13749037033919,0.019580275113481,-1.11791009522571,14.471719,-8.77384,77.61232,81.1392253277881,0.0463717199154135,0.092743439830827,0.0463717199154135,0.131338310187218,0.00285446270943966,0.134192772896657,-9.997188
239.5148,29.5147,-37.9272,-196.43556,-180.856391407806,0.18744315345998,0.374886306919959,0.18744315345998,-1.18334343705477,0.0509672529813255,-1.13237618407344,17.2100226,-8.34318,68.84768,74.4427641325825,0.0605756761633625,0.121151352326725,0.0605756761633625,0.157408479686406,0.00591537469953959,0.163323854385945,-10.9999926
239.527,29.5269,-40.8122,-195.41016,-166.993301111216,0.174511570908479,0.349023141816958,0.174511570908479,-1.01725689241934,0.0865521112917904,-0.930704781127554,19.8514886,-8.07732,64.95364,70.0899289601075,0.0756703012981603,0.151340602596321,0.0756703012981603,0.185134964126528,0.00678347578946904,0.191918439915997,-11.9439006
239.537,29.5369,-42.85894,-192.98096,-158.591504344895,0.172990025111821,0.345980050223641,0.172990025111821,-0.957653375250116,0.103830209623033,-0.853823165627083,22.4152292,-7.83452,63.81838,67.0073589783872,0.0898698009517469,0.179739601903494,0.0898698009517469,0.210205291379793,0.00500198982302929,0.215207281202822,-12.8248564
239.547,29.5469,-45.16278,-186.76758,-145.75679433329,0.171521086667928,0.343042173335856,0.171521086667928,-0.872677323381949,0.122770203712012,-0.749907119669937,24.9019532,-7.4588,64.16018,63.8029248629488,0.104031804641014,0.208063609282027,0.104031804641014,0.231693624601163,-0.000648667265556943,0.231044957335606,-13.6421454
