t_s,mat_tau_L,mat_tau_R,local_ref_single_L,local_ref_single_R,local_deploy_single_L,local_deploy_single_R,local_ref_mcmean_L,local_ref_mcmean_R,local_deploy_mcmean_L,local_deploy_mcmean_R,local_ref_matcfg_L,local_ref_matcfg_R,local_deploy_matcfg_L,local_deploy_matcfg_R
56.0488,0.785110415010674,-1.11235218815163,1.0061466674226618,-0.841295755841406,0.8661390542984009,-0.8018665909767151,1.0041346178670327,-0.8036474857481839,0.9742155969142914,-0.786920839548111,1.0779998685461551,-1.1255621061657408,1.4698760509490967,-0.8246156573295593
56.0588,0.704712930056398,-1.69148315131087,0.989735099000953,-1.348978322837941,0.868636965751648,-1.2634795904159546,0.9909608659493454,-1.2673292074063578,0.9575491428375245,-1.2598376989364624,0.9767428871989774,-1.91186644909417,1.2776840925216675,-0.9446966648101807
56.0688,0.663005342075506,-2.33660105914977,1.0115044053075635,-2.148978322837941,0.9226753115653992,-2.0634796619415283,1.0127660035833728,-2.067329207406358,0.9730295360088348,-2.0598377108573915,0.9132885751079922,-2.71186644909417,1.1335703134536743,-1.1132917404174805
56.0788,0.570692823092214,-3.12816263580464,0.9515687322379722,-2.9489783228379407,0.8872421979904175,-2.8634796142578125,0.9494464614927844,-2.8673292074063577,0.9068516969680787,-2.8598377466201783,0.8490972875186847,-3.18057745531922,1.0209218263626099,-1.867950439453125
56.0888,0.493576324588438,-3.64884629761451,0.8297039656160446,-3.7489783228379405,0.7840678095817566,-3.6634795665740967,0.8317598575952356,-3.6673292074063575,0.7874838054180145,-3.6598376989364625,0.8075467431973077,-3.7367889777723278,0.9621670842170715,-2.667950391769409
56.0988,0.391930224470128,-4.07009959514085,0.562629467912739,-4.54897832283794,0.5233831405639648,-4.463479518890381,0.6104231391200796,-4.236187538430571,0.5702892452478409,-4.107685565948486,0.7836580609222076,-4.374743960641176,0.8925294280052185,-3.285991907119751
56.1088,0.318003911447116,-4.20538394086365,0.6437008515193222,-4.935681509271318,0.5994295477867126,-5.11823034286499,0.6843485108403277,-4.762499316415662,0.6585209429264068,-4.536983036994934,0.789185477672747,-4.109718824516535,0.8481606841087341,-3.7435431480407715
56.1188,0.281732925067115,-4.22214182986511,0.621362206850492,-4.485545726604349,0.5681260228157043,-4.799717903137207,0.6621143755885309,-4.174474329055445,0.6639566421508789,-4.169285869598388,0.7983445549848824,-3.968344552617037,0.8030586242675781,-4.281397819519043
56.1288,0.293217539300216,-4.12115515031173,0.7224727579950107,-4.1038918395390125,0.6801630258560181,-4.368607997894287,0.7563839966556153,-3.6012828241215957,0.7710480570793152,-3.655568075180054,0.8679940655990708,-3.8324052638773414,0.7968696355819702,-4.183337688446045
56.1388,0.294823482794582,-3.90989502604278,0.8188850507806908,-4.096478684242384,0.7897542119026184,-4.257262229919434,0.8403852998922211,-3.6364166791731654,0.8599185824394227,-3.753491234779358,0.9213150515373896,-3.631434545185095,0.8300406336784363,-4.144010543823242
56.1488,0.326898147894918,-3.76212851306959,0.8663986228606733,-3.7941197507305047,0.7971465587615967,-3.965038537979126,0.8242706219175894,-3.367897994224802,0.8406801402568818,-3.540345573425293,1.008432521811201,-3.518200257759736,0.895542323589325,-4.032576084136963
