Time_s,ref_tau_L,new_tau_L,ref_tau_R,new_tau_R,err_L,err_R
63.8587,12.646224796772003,12.646224796772003,-1.3853004947304726,-1.3853004947304726,0.0,0.0
63.8687,12.522299587726593,12.522299587726593,-1.674889661371708,-1.674889661371708,0.0,0.0
63.8787,12.313584387302399,12.313584387302399,-1.7778905108571053,-1.7778905108571053,0.0,0.0
63.8887,12.420986294746399,12.420986294746399,-1.587635949254036,-1.587635949254036,0.0,0.0
63.8987,12.261385917663574,12.261385917663574,-1.4244131371378899,-1.4244131371378899,0.0,0.0
63.9087,12.263476252555847,12.263476252555847,-1.1414329335093498,-1.1414329335093498,0.0,0.0
63.9187,12.24092960357666,12.24092960357666,-1.1133936792612076,-1.1133936792612076,0.0,0.0
63.9287,12.192256450653076,12.192256450653076,-1.1000652238726616,-1.1000652238726616,0.0,0.0
63.9387,11.845782101154327,11.845782101154327,-0.799254197627306,-0.799254197627306,0.0,0.0
63.9487,11.301119327545166,11.301119327545166,-0.23300296626985073,-0.23300296626985073,0.0,0.0
63.9587,11.329538226127625,11.329538226127625,0.3883221186697483,0.3883221186697483,0.0,0.0
63.9687,11.274316012859344,11.274316012859344,0.6672807410359383,0.6672807410359383,0.0,0.0
63.9787,10.946995317935944,10.946995317935944,0.47521987929940224,0.47521987929940224,0.0,0.0
63.9887,10.278089046478271,10.278089046478271,0.9122786857187748,0.9122786857187748,0.0,0.0
63.9987,9.657779037952423,9.657779037952423,1.1390893533825874,1.1390893533825874,0.0,0.0
64.0087,8.708178699016571,8.708178699016571,2.526458725333214,2.526458725333214,0.0,0.0
64.0187,8.227294385433197,8.227294385433197,2.5879597663879395,2.5879597663879395,0.0,0.0
64.0287,8.341240882873535,8.341240882873535,1.9578659534454346,1.9578659534454346,0.0,0.0
64.0387,9.309878647327423,9.309878647327423,1.105777658522129,1.105777658522129,0.0,0.0
64.0487,10.036117136478424,10.036117136478424,-0.48619626089930534,-0.48619626089930534,0.0,0.0
64.0587,10.62417358160019,10.62417358160019,-3.053143545985222,-3.053143545985222,0.0,0.0
64.0687,10.984725952148438,10.984725952148438,-3.9175455272197723,-3.9175455272197723,0.0,0.0
64.0787,11.441129744052887,11.441129744052887,-6.28045454621315,-6.28045454621315,0.0,0.0
64.0887,11.590728163719177,11.590728163719177,-8.06660771369934,-8.06660771369934,0.0,0.0
64.0987,11.648805141448975,11.648805141448975,-9.522370398044586,-9.522370398044586,0.0,0.0
64.1087,11.569386720657349,11.569386720657349,-10.211668610572815,-10.211668610572815,0.0,0.0
64.1187,11.664486229419708,11.664486229419708,-10.4276043176651,-10.4276043176651,0.0,0.0
64.1287,11.38878732919693,11.38878732919693,-10.308160185813904,-10.308160185813904,0.0,0.0
64.1387,11.276894509792328,11.276894509792328,-10.129615366458893,-10.129615366458893,0.0,0.0
64.1487,10.971410572528839,10.971410572528839,-9.624829888343811,-9.624829888343811,0.0,0.0
64.1587,10.20716518163681,10.20716518163681,-9.229369461536407,-9.229369461536407,0.0,0.0
64.1687,10.353809595108032,10.353809595108032,-8.955115377902985,-8.955115377902985,0.0,0.0
64.1787,10.054684281349182,10.054684281349182,-8.943207263946533,-8.943207263946533,0.0,0.0
64.1887,10.298067033290863,10.298067033290863,-9.07569408416748,-9.07569408416748,0.0,0.0
64.1987,10.35886824131012,10.35886824131012,-9.226890206336975,-9.226890206336975,0.0,0.0
64.2087,10.417207181453705,10.417207181453705,-9.288664162158966,-9.288664162158966,0.0,0.0
64.2187,10.557009279727936,10.557009279727936,-8.315337896347046,-8.315337896347046,0.0,0.0
64.2287,10.770926177501678,10.770926177501678,-8.12515676021576,-8.12515676021576,0.0,0.0
64.2387,10.854270458221436,10.854270458221436,-8.491246998310089,-8.491246998310089,0.0,0.0
64.2487,10.8364999294281,10.8364999294281,-6.5877096354961395,-6.5877096354961395,0.0,0.0
64.2587,10.699075162410736,10.699075162410736,-6.310818940401077,-6.310818940401077,0.0,0.0
64.2687,10.544354617595673,10.544354617595673,-5.027877241373062,-5.027877241373062,0.0,0.0
64.2787,10.404643714427948,10.404643714427948,-3.750312477350235,-3.750312477350235,0.0,0.0
64.2887,10.812930464744568,10.812930464744568,-3.647947534918785,-3.647947534918785,0.0,0.0
64.2987,10.657724440097809,10.657724440097809,-2.1898701041936874,-2.1898701041936874,0.0,0.0
64.3087,10.625329613685608,10.625329613685608,0.34427113831043243,0.34427113831043243,0.0,0.0
64.3187,10.575923323631287,10.575923323631287,1.059655174612999,1.059655174612999,0.0,0.0
64.3287,10.451274812221527,10.451274812221527,3.1994909048080444,3.1994909048080444,0.0,0.0
64.3387,10.078544318675995,10.078544318675995,4.682539701461792,4.682539701461792,0.0,0.0
64.3487,9.644661247730255,9.644661247730255,6.31350114941597,6.31350114941597,0.0,0.0
64.3587,9.288569390773773,9.288569390773773,7.67977237701416,7.67977237701416,0.0,0.0
64.3687,8.625394105911255,8.625394105911255,8.858446776866913,8.858446776866913,0.0,0.0
64.3787,7.626127302646637,7.626127302646637,10.32281219959259,10.32281219959259,0.0,0.0
64.3887,6.604238301515579,6.604238301515579,10.44317901134491,10.44317901134491,0.0,0.0
64.3987,5.420784205198288,5.420784205198288,11.05049729347229,11.05049729347229,0.0,0.0
64.4087,5.085827261209488,5.085827261209488,11.19332492351532,11.19332492351532,0.0,0.0
64.4187,4.807066172361374,4.807066172361374,11.264247000217438,11.264247000217438,0.0,0.0
64.4287,4.098053723573685,4.098053723573685,11.654554903507233,11.654554903507233,0.0,0.0
64.4386,3.4961528331041336,3.4961528331041336,11.59647524356842,11.59647524356842,0.0,0.0
64.4486,2.9442501068115234,2.9442501068115234,11.800386607646942,11.800386607646942,0.0,0.0
64.4586,2.3118996620178223,2.3118996620178223,12.17718780040741,12.17718780040741,0.0,0.0
64.4687,1.6379133984446526,1.6379133984446526,12.338822185993195,12.338822185993195,0.0,0.0
64.4787,0.7161596417427063,0.7161596417427063,12.589283287525177,12.589283287525177,0.0,0.0
64.4887,-0.0009554252028465271,-0.0009554252028465271,12.2002574801445,12.2002574801445,0.0,0.0
64.4987,-0.8981056697666645,-0.8981056697666645,12.448379695415497,12.448379695415497,0.0,0.0
64.5087,-2.1592459827661514,-2.1592459827661514,12.476457953453064,12.476457953453064,0.0,0.0
64.5186,-2.3349331319332123,-2.3349331319332123,12.582400739192963,12.582400739192963,0.0,0.0
64.5286,-2.676776647567749,-2.676776647567749,12.501002848148346,12.501002848148346,0.0,0.0
64.5387,-2.6280245929956436,-2.6280245929956436,12.324081659317017,12.324081659317017,0.0,0.0
64.5487,-3.30020472407341,-3.30020472407341,12.299141585826874,12.299141585826874,0.0,0.0
64.5587,-2.6748771965503693,-2.6748771965503693,12.290778458118439,12.290778458118439,0.0,0.0
64.5687,-3.701839819550514,-3.701839819550514,12.135385572910309,12.135385572910309,0.0,0.0
64.5786,-5.642111599445343,-5.642111599445343,12.034658789634705,12.034658789634705,0.0,0.0
64.5886,-5.675347298383713,-5.675347298383713,11.97382003068924,11.97382003068924,0.0,0.0
64.5986,-6.230088919401169,-6.230088919401169,11.774944067001343,11.774944067001343,0.0,0.0
64.6086,-7.595820128917694,-7.595820128917694,11.751378178596497,11.751378178596497,0.0,0.0
64.6187,-8.661682605743408,-8.661682605743408,11.895201802253723,11.895201802253723,0.0,0.0
64.6287,-9.531394243240356,-9.531394243240356,11.832726001739502,11.832726001739502,0.0,0.0
64.6386,-10.217661559581757,-10.217661559581757,11.626327335834503,11.626327335834503,0.0,0.0
64.6487,-9.9486243724823,-9.9486243724823,11.331493556499481,11.331493556499481,0.0,0.0
64.6586,-9.886119067668915,-9.886119067668915,11.57857060432434,11.57857060432434,0.0,0.0
64.6686,-9.910651445388794,-9.910651445388794,11.360903084278107,11.360903084278107,0.0,0.0
64.6786,-9.877819418907166,-9.877819418907166,11.389313042163849,11.389313042163849,0.0,0.0
